name,cc_fips
AIESEC HECI IN FES (CLOSED),MO
AIESEC HECI IN CASABLANCA (CLOSED),MO
AIESEC MENARA,MO
AIESEC LES AMBASSADEURS,MO
AIESEC HECI IN MEKNES (CLOSED),MO
AIESEC BEIRA,MZ
AIESEC MAPUTO,MZ
AIESEC ISCTEM,MZ
AIESEC MAPUTO (CLOSED),MZ
AIESEC UEM,MZ
AIESEC PS YANGON,BM
AIESEC NUST,WA
AIESEC UNIVERSITY OF NAMIBIA,WA
AIESEC KATHMANDU,NP
AIESEC NETHERLANDS ANTILLES LC (CLOSED),NL
AIESEC AUT, AUCKLAND (CLOSED),NZ
AIESEC OTAGO, DUNEDIN,NZ
AIESEC AUCKLAND,NZ
AIESEC VICTORIA, WELLINGTON,NZ
AIESEC MANAWATU PALMERSTON NORTH (CLOSED),NZ
AIESEC MASSEY (CLOSED),NZ
AIESEC WAIKATO, HAMILTON,NZ
AIESEC CANTERBURY, CHRISTCHURCH,NZ
AIESEC UDL,UN
AIESEC LC CENTRAL,UN
AIESEC IBADAN,NI
AIESEC ENUGU,NI
AIESEC IFE,NI
AIESEC KANO (CLOSED),NI
AIESEC ABEOKUTA,NI
AIESEC CALABAR (CLOSED),NI
AIESEC ZARIA,NI
AIESEC ILORIN,NI
AIESEC PORT HARCOURT,NI
AIESEC LAGOS,NI
AIESEC BENIN,NI
AIESEC AWKA (CLOSED),NI
AIESEC JOS,NI
AIESEC NHH,NO
AIESEC KRISTIANSAND (CLOSED),NO
AIESEC STAVANGER,NO
AIESEC TRONDHEIM,NO
AIESEC UNIVERSITY OF OSLO,NO
AIESEC UNIVERSITY OF BERGEN,NO
AIESEC BI,NO
AIESEC BODO (CLOSED),NO
AIESEC NMH (CLOSED),NO
AIESEC TROMSO,NO
AIESEC OSLO BUSINESS SCHOOL (CLOSED),NO
AIESEC BOUSHER,MU
AIESEC CALEDONIAN (CLOSED),MU
AIESEC DOWNTOWN,MU
AIESEC WAHA,MU
AIESEC MIRANI,MU
AIESEC SOHAR (CLOSED),MU
AIESEC MUSCAT - SQU (CLOSED),MU
AIESEC LAHORE,PK
AIESEC ISLAMABAD,PK
AIESEC KARACHI,PK
AIESEC IBA,PK
AIESEC LATINA,PM
AIESEC CHIRIQUI (CLOSED),PM
AIESEC UTP,PM
AIESEC USMA,PM
AIESEC PAPUA NEW GUINEA LC (CLOSED),PP
AIESEC ASUNCION,PA
AIESEC AREQUIPA,PE
AIESEC UDEP,PE
AIESEC UNIVERSIDAD CATOLICA - PERU,PE
AIESEC TRUJILLO (CLOSED),PE
AIESEC LIMA,PE
AIESEC RICARDO PALMA (CLOSED),PE
AIESEC IQUITOS (CLOSED),PE
AIESEC SAN MARCOS,PE
AIESEC PIURA,PE
AIESEC SAN IGNACIO DE LOYOLA (CLOSED),PE
AIESEC PACIFICO,PE
AIESEC KRAKOW,PL
AIESEC OPOLE (CLOSED),PL
AIESEC TORUN UMK,PL
AIESEC GWSH (CLOSED),PL
AIESEC GDYNIA WSM (CLOSED),PL
AIESEC POZNAN,PL
AIESEC LUBLIN UMCS,PL
AIESEC RADOM (CLOSED),PL
AIESEC WROCLAW UE,PL
AIESEC KATOWICE AE,PL
AIESEC KIELCE,PL
AIESEC NOWY SACZ,PL
AIESEC WARSZAWA PWSBIA (CLOSED),PL
AIESEC RZESZOW (CLOSED),PL
AIESEC ZSB (CLOSED),PL
AIESEC WARSAW UNIVERSITIES,PL
AIESEC NOWY SACZ WSB (CLOSED),PL
AIESEC WSPIZ (CLOSED),PL
AIESEC LODZ,PL
AIESEC SOSNOWIEC (CLOSED),PL
AIESEC GDANSK UG,PL
AIESEC RZESZOW,PL
AIESEC WSZIM (CLOSED),PL
AIESEC SZCZENCIN ZSB(CLOSED),PL
AIESEC WROCLAW UT,PL
AIESEC SZCZECIN,PL
AIESEC JELENIA GORA AE (CLOSED),PL
AIESEC CZESTOCHOWA (CLOSED),PL
AIESEC OLSZTYN,PL
AIESEC KOSZALIN (CLOSED),PL
AIESEC WARSZAWA SGH,PL
AIESEC UNIVERSITY OF WARSAW (CLOSED),PL
AIESEC BIELSKO-BIALA (CLOSED),PL
AIESEC BIALYSTOK,PL
AIESEC GDANSK PG (CLOSED),PL
AIESEC LISBOA AUTONOMA (CLOSED),PO
AIESEC ACORES (CLOSED),PO
AIESEC PORTO CATOLICA,PO
AIESEC AVEIRO,PO
AIESEC LISBOA ISCTE,PO
AIESEC PORTO FEP,PO
AIESEC FARO UNIVERSIDADE DO ALGARVE,PO
AIESEC BRAGA MINHO,PO
AIESEC LISBOA NOVA,PO
AIESEC LISBOA ISEG,PO
AIESEC LISBOA ISG (TESTING) (CLOSED),PO
AIESEC COIMBRA NEFE,PO
AIESEC COVILHA UBI (CLOSED),PO
AIESEC VIANA DO CASTELO (CLOSED),PO
AIESEC LISBOA CATOLICA,PO
AIESEC MAYAGUEZ,RQ
AIESEC SAGRADO CORAZON,RQ
AIESEC POLITECNICA (CLOSED),RQ
AIESEC RIO PIEDRAS,RQ
AIESEC QATAR UNIVERSITY,QA
AIESEC QATAR FOUNDATION,QA
AIESEC OHRID (CLOSED),MK
AIESEC SKOPJE,MK
AIESEC PRILEP,MK
AIESEC SUCEAVA,RO
AIESEC ORADEA,RO
AIESEC CLUJ-NAPOCA,RO
AIESEC CONSTANTA,RO
AIESEC BUCURESTI,RO
AIESEC ARAD,RO
AIESEC IASI,RO
AIESEC SIBIU,RO
AIESEC BRASOV,RO
AIESEC TIMISOARA,RO
AIESEC GALATI,RO
AIESEC PITESTI,RO
AIESEC CRAIOVA,RO
AIESEC PLOIESTI (CLOSED),RO
AIESEC TARGU MURES,RO
AIESEC UF MGU (CLOSED),RS
AIESEC KRASNODAR,RS
AIESEC CHEBOKSARY (CLOSED),RS
AIESEC NSTU,RS
AIESEC TOMSK,RS
AIESEC ENGEC-GAAP,RS
AIESEC SUM (CLOSED),RS
AIESEC PERM,RS
AIESEC MUCC (CLOSED),RS
AIESEC SAMARA,RS
AIESEC KAZAN,RS
AIESEC SAMARA (CLOSED),RS
AIESEC MINSK (CLOSED),RS
AIESEC MISA (CLOSED),RS
AIESEC CHELYABINSK,RS
AIESEC KRASNOYARSK,RS
AIESEC PFUR (CLOSED),RS
AIESEC BASHKORTOSTAN (CLOSED),RS
AIESEC TOGLIATTI,RS
AIESEC KHABAROVSK,RS
AIESEC MOSCOW,RS
AIESEC NINH (CLOSED),RS
AIESEC HSE (CLOSED),RS
AIESEC SPGTU (CLOSED),RS
AIESEC IZHEVSK,RS
AIESEC ROSTOV-ON-DON,RS
AIESEC PLEKHANOV (CLOSED),RS
AIESEC SARATOV,RS
AIESEC VORONEZH,RS
AIESEC UFA,RS
AIESEC SSTU (CLOSED),RS
AIESEC KALININGRAD,RS
AIESEC SPUEF,RS
AIESEC OMSK,RS
AIESEC ERINE - EREVAN (CLOSED),RS
AIESEC ALMATY (CLOSED),RS
AIESEC MAI (CLOSED),RS
AIESEC TASHKENT (CLOSED),RS
AIESEC NABEREZHNYIE CHELNY,RS
AIESEC NIZHNY NOVGOROD,RS
AIESEC SPSU (CLOSED),RS
AIESEC NSU,RS
AIESEC FA (CLOSED),RS
AIESEC KIGALI,RW
AIESEC CESAG,SG
AIESEC CHEIKH ANTA DIOP,SG
AIESEC SAINT LOUIS (CLOSED),SG
AIESEC CEMIS (CLOSED),SG
AIESEC BEOGRAD BK,RI
AIESEC KOTOR (CLOSED),RI
AIESEC BANJA LUKA (CLOSED),RI
AIESEC PODGORICA (CLOSED),RI
AIESEC VALJEVO,RI
AIESEC KRAGUJEVAC (CLOSED),RI
AIESEC SUBOTICA (CLOSED),RI
AIESEC BEOGRAD FON,RI
AIESEC KRAGUJEVAC,RI
AIESEC BBA,RI
AIESEC NOVI SAD,RI
AIESEC SRPSKO SARAJEVO (CLOSED),RI
AIESEC BEOGRAD EF,RI
AIESEC PRISTINA (CLOSED),RI
AIESEC NIS,RI
AIESEC NJALA UNIVERSITY COLLEGE,SL
AIESEC MILTON MARGAI COLLEGE,SL
AIESEC IPAM UNIVERSITY,SL
AIESEC SIM,SN
AIESEC NTU,SN
AIESEC SMU,SN
AIESEC NUS,SN
AIESEC TRNAVA,LO
AIESEC KOSICE,LO
AIESEC POPRAD (CLOSED),LO
AIESEC NITRA,LO
AIESEC BANSKA BYSTRICA,LO
AIESEC COMENIUS UNIVERSITY,LO
AIESEC ZILINA (CLOSED),LO
AIESEC BRATISLAVA,LO
AIESEC KRANJ,SI
AIESEC PIRAN (CLOSED),SI
AIESEC MARIBOR,SI
AIESEC LJUBLJANA,SI
AIESEC OBALA (CLOSED),SI
AIESEC NMMU,SF
AIESEC UNW (CLOSED),SF
AIESEC UFS (CLOSED),SF
AIESEC UDW (CLOSED),SF
AIESEC RAND AFRIKAANS UNIVERSITY (CLOSED),SF
AIESEC UNIVERSITY OF PRETORIA,SF
AIESEC PRETORIA (CLOSED),SF
AIESEC RHODES GRAHAMSTOWN (CLOSED),SF
AIESEC UJ,SF
AIESEC TNW (CLOSED),SF
AIESEC UNP (CLOSED),SF
AIESEC STELLENBOSCH,SF
AIESEC PIETERMARITZBURG  (CLOSED),SF
AIESEC UNIVERSITY OF FREE STATE,SF
AIESEC VISTA MAMELODI (CLOSED),SF
AIESEC NATAL TECHNIKON (CLOSED),SF
AIESEC TECHNIKON NORTHERN GAUTENG (CLOSED),SF
AIESEC TWR (CLOSED),SF
AIESEC NATAL - DURBAN (CLOSED),SF
AIESEC UNIZUL (CLOSED),SF
AIESEC WSU (CLOSED),SF
AIESEC UNIQWA (CLOSED),SF
AIESEC WITWATERSAND (WITS),SF
AIESEC MANGOSUTHU TECHNIKON (CLOSED),SF
AIESEC VISTA SOWETO (CLOSED),SF
AIESEC RHODES UNIVERSITY EAST LONDEN (CLOSED),SF
AIESEC UNIVERSITY OF MONASH,SF
AIESEC UCT,SF
AIESEC RHODES (CLOSED),SF
AIESEC TURFLOOP (CLOSED),SF
AIESEC PE TECHNIKON (CLOSED),SF
AIESEC ETEA (CLOSED),SP
AIESEC ALCALA (CLOSE) (CLOSED),SP
AIESEC LAS PALMAS (CLOSED),SP
AIESEC ALBACETE (CLOSED),SP
AIESEC VALENCIA,SP
AIESEC BELLATERRA,SP
AIESEC GRAN CANARIA (CLOSED),SP
AIESEC INEDE (CLOSED),SP
AIESEC DEUSTO (CLOSED),SP
AIESEC IQS BARCELONA,SP
AIESEC GRANADA,SP
AIESEC SEVILLA,SP
AIESEC ESTE (CLOSED),SP
AIESEC BLANQUERNA,SP
AIESEC UNIVERSIDAD DE BARCELONA (CLOSED),SP
AIESEC MURCIA (CLOSED),SP
AIESEC BILBAO,SP
AIESEC ALICANTE (CLOSED),SP
AIESEC IE,SP
AIESEC VIGO (CLOSED),SP
AIESEC PRINCIPADO DE ASTURIAS (CLOSED),SP
AIESEC MALAGA,SP
AIESEC A CORUNHA,SP
AIESEC LEON (CLOSED),SP
AIESEC ECONOMICAS VALENCIA (CLOSED),SP
AIESEC SANTIAGO (CLOSED),SP
AIESEC ESADE (CLOSED),SP
AIESEC HUELVA (CLOSED),SP
AIESEC NAVARRA (CLOSED),SP
AIESEC CARTEGANA (CLOSED),SP
AIESEC LA CORUNA (CLOSED),SP
AIESEC ESADE BARCELONA,SP
AIESEC POMPEU FABRA BARCELONA,SP
AIESEC CEU (CLOSED),SP
AIESEC COMERCIAL DEUSTO (CLOSED),SP
AIESEC ZARAGOZA,SP
AIESEC CANTOBLANCO (CLOSED),SP
AIESEC UCM (CLOSED),SP
AIESEC LOYOLA CORDOBA,SP
AIESEC CANARIAS TENERIFE (CLOSED),SP
AIESEC SALAMANCA (CLOSED),SP
AIESEC CADIZ (CLOSED),SP
AIESEC ICADE (CLOSED),SP
AIESEC ABAT OLIBA (CLOSED),SP
AIESEC BURGOS (CLOSED),SP
AIESEC VALLADOLID,SP
AIESEC CANTABRIA (CLOSED),SP
AIESEC LA RIOJA (CLOSED),SP
AIESEC MADRID,SP
AIESEC CASTELLON (CLOSED),SP
AIESEC DONOSTI (CLOSED),SP
AIESEC COLOMBO CENTRAL,CE
AIESEC JAYAWARDANAPURA,CE
AIESEC COLOMBO NORTH,CE
AIESEC COLOMBO SOUTH,CE
AIESEC VAXJO (CLOSED),SW
AIESEC UMEA,SW
AIESEC STOCKHOLM SCHOOL OF ECONOMICS (CLOSED),SW
AIESEC LINKOPING,SW
AIESEC KARLSTAD (CLOSED),SW
AIESEC OREBRO (CLOSED),SW
AIESEC STOCKHOLM,SW
AIESEC UPPSALA,SW
AIESEC JONKOPING,SW
AIESEC LUND,SW
AIESEC GOTHENBURG,SW
AIESEC SUNDSVALL (CLOSED),SW
AIESEC GENEVA,SZ
AIESEC LAUSANNE,SZ
AIESEC FRIBOURG,SZ
AIESEC WINTERTHUR (CLOSED),SZ
AIESEC NEUCHATEL (CLOSED),SZ
AIESEC BERN,SZ
AIESEC LUGANO,SZ
AIESEC BASEL,SZ
AIESEC ZURICH,SZ
AIESEC ST GALLEN,SZ
AIESEC TAIWAN NCKU,TW
AIESEC TAIWAN NTU,TW
AIESEC TSING-HUA UNIVERSITY (CLOSED),TW
AIESEC TAIWAN NTPU,TW
AIESEC TAIWAN NSYSU,TW
AIESEC DA-YEH (CLOSED),TW
AIESEC TAM-KANG UNIVERSITY (CLOSED),TW
AIESEC TAIWAN NDHU,TW
AIESEC TAIWAN NTHU,TW
AIESEC TAIWAN SCU,TW
AIESEC TAIWAN NCCU,TW
AIESEC TAIWAN THU,TW
AIESEC CHINESE CULTURE UNIVERSITY (CLOSED),TW
AIESEC TAIWAN FJU,TW
AIESEC TAIWAN PCCU,TW
AIESEC TAIWAN YZU,TW
AIESEC TANG TUNG (CLOSED),TW
AIESEC CHIAO-TUNG UNIVERSITY (CLOSED),TW
AIESEC TAIWAN MCU,TW
AIESEC TAIWAN WZU,TW
AIESEC TAIWAN NCTU,TW
AIESEC DUSHANBE,TI
AIESEC IFM,TZ
AIESEC SAUT,TZ
AIESEC MZUMBE,TZ
AIESEC KILIMANJARO,TZ
AIESEC UDOM,TZ
AIESEC UNIVERSITY OF DAR ES SALAAM,TZ
AIESEC THAI-NICHI INSTITUTE OF TECHNOLOGY,TH
AIESEC KUPLERAJ (CLOSED),TH
AIESEC KASETSART UNIV.,TH
AIESEC UNIVERSITY OF THE THAI CHAMBER OF COMMERCE,TH
AIESEC CHULALONGKORN UNIVERSITY,TH
AIESEC MAHIDOL UNIVERSITY INTERNATIONAL COLLEGE,TH
AIESEC THAMMASAT UNIVERSITY,TH
AIESEC OFFICIAL EXPANSION,TH
AIESEC UTCC (CLOSED),TH
AIESEC BANGKOK UNIVERSITY,TH
AIESEC ASSUMPTION UNIVERSITY (CLOSED),TH
AIESEC RAMKHAMHAENG (CLOSED),TH
AIESEC THAMMASAT (CLOSED),TH
AIESEC CHIENGMAI UNIVERSITY (CLOSED),TH
AIESEC ASSUMPTION UNIVERSITY,TH
AIESEC CHULALONGKORN UNIVERSITY (CLOSED),TH
AIESEC KRU (CLOSED),TH
AIESEC NIJMEGEN,NL
AIESEC NIJENRODE (CLOSED),NL
AIESEC DELFT,NL
AIESEC GRONINGEN,NL
AIESEC TWENTE,NL
AIESEC WAGENINGEN,NL
AIESEC NIJENRODE (CLOSED),NL
AIESEC ROTTERDAM,NL
AIESEC UTRECHT,NL
AIESEC MAASTRICHT,NL
AIESEC AMSTERDAM,NL
AIESEC LEIDEN,NL
AIESEC TILBURG,NL
AIESEC MIRIAM COLLEGE,RP
AIESEC DE LA SALLE UNIVERSITY,RP
AIESEC ATENEO DE DAVAO (CLOSED),RP
AIESEC ATENEO DE MANILA UNIVERSITY,RP
AIESEC SILLIMAN UNIVERSITY (CLOSED),RP
AIESEC UNIVERSITY OF THE PHILIPPINES - CEBU (CLOSED),RP
AIESEC USC (CLOSED),RP
AIESEC UNIVERSITY OF THE PHILIPPINES DILIMAN,RP
AIESEC DAVAO (CLOSED),RP
AIESEC ASSUMPTION COLLEGE (CLOSED),RP
AIESEC MIRIAM COLLEGE (CLOSED),RP
AIESEC ST. SCHOLASTICAS COLLEGE (CLOSED),RP
AIESEC UNIVERSITY OF SANTO TOMAS,RP
AIESEC DAVAO,RP
AIESEC XAVIER UNIVERSITY (CLOSED),RP
AIESEC UNIVERSITY OF SAN AGUSTIN (CLOSED),RP
AIESEC CEBU,RP
AIESEC UNIVERSITY OF ASIA & THE PACIFIC,RP
AIESEC UNIVERSITE DE KARA,TO
AIESEC UL,TO
AIESEC BENIN (CLOSED),TO
AIESEC JVSTINIA (CLOSED),TS
AIESEC SFAX,TS
AIESEC BARDO,TS
AIESEC NABEL,TS
AIESEC HADRUMET,TS
AIESEC CARTHAGE,TS
AIESEC THYNA,TS
AIESEC UNIVERSITY,TS
AIESEC BIZERTE,TS
AIESEC MEDINA,TS
AIESEC ULT (CLOSED),TS
AIESEC DENIZLI,TU
AIESEC BURSA,TU
AIESEC ANTALYA (CLOSED),TU
AIESEC ANTALYA,TU
AIESEC KOCAELI,TU
AIESEC KAYSERI,TU
AIESEC GAZIANTEP,TU
AIESEC EASTERN MEDITERRANEAN,TU
AIESEC ANKARA,TU
AIESEC IZMIR,TU
AIESEC ISTANBUL,TU
AIESEC ESKISEHIR,TU
AIESEC ADANA,TU
AIESEC KYAMBOGO,UG
AIESEC NDEJJE,UG
AIESEC UCU,UG
AIESEC MUBS,UG
AIESEC MAKERERE UNIVERSITY,UG
AIESEC SEVASTOPOL,UP
AIESEC IVANO-FRANKIVSK,UP
AIESEC VINNICA,UP
AIESEC TERNOPIL,UP
AIESEC SIMFEROPOL,UP
AIESEC CHERKASY (CLOSED),UP
AIESEC BERDYANSK,UP
AIESEC DNIPROPETROVSK,UP
AIESEC MYKOLAIV (CLOSED),UP
AIESEC ODESSA,UP
AIESEC SUMY,UP
AIESEC KHMELNYTSKY,UP
AIESEC KHARKIV,UP
AIESEC LVIV,UP
AIESEC LUGANSK,UP
AIESEC DONETSK,UP
AIESEC CHERNIVTSI,UP
AIESEC ZAPORIZHZHYA,UP
AIESEC KYIV,UP
AIESEC RIVNE (CLOSED),UP
AIESEC MARIUPOL,UP
AIESEC UZHGOROD,UP
AIESEC KRYVYI RIH,UP
AIESEC DUBAI,AE
AIESEC ULSTER (CLOSED),UK
AIESEC ST ANDREWS (CLOSED),UK
AIESEC BELFAST (CLOSED),UK
AIESEC HULL (CLOSED),UK
AIESEC OXFORD,UK
AIESEC EXETER (CLOSED),UK
AIESEC LOUGHBOROUGH (CLOSED),UK
AIESEC KENT(CLOSED),UK
AIESEC MANCHESTER,UK
AIESEC ASTON,UK
AIESEC PORTSMOUTH (CLOSED),UK
AIESEC WARWICK,UK
AIESEC DURHAM,UK
AIESEC LIVERPOOL (CLOSED),UK
AIESEC NOTTINGHAM,UK
AIESEC CARDIFF,UK
AIESEC SOUTHAMPTON,UK
AIESEC BATH (CLOSED),UK
AIESEC CENTRAL LANCASHIRE (CLOSED),UK
AIESEC SHEFFIELD,UK
AIESEC BRISTOL,UK
AIESEC UNIVERSITY OF EAST ANGLIA - UEA,UK
AIESEC STRATHCLYDE,UK
AIESEC BIRMINGHAM,UK
AIESEC UEA, NORWICH (CLOSED),UK
AIESEC STIRLING (CLOSED),UK
AIESEC UCL-SOAS,UK
AIESEC LEEDS,UK
AIESEC BOURNEMOUTH (CLOSED),UK
AIESEC LSE,UK
AIESEC READING,UK
AIESEC CITY,UK
AIESEC NEWCASTLE,UK
AIESEC EDINBURGH,UK
AIESEC IMPERIAL (CLOSED),UK
AIESEC ABERDEEN (CLOSED),UK
AIESEC CAMBRIDGE,UK
AIESEC LIVERPOOL,UK
AIESEC ST.JOHN'S (CLOSED),US
AIESEC STANFORD (CLOSED),US
AIESEC WAYNE STATE (CLOSED),US
AIESEC DARTMOUTH (CLOSED),US
AIESEC RIDER (CLOSED),US
AIESEC VANDERBILT (CLOSED),US
AIESEC CENTRAL STATE (CLOSED),US
AIESEC STETSON (CLOSED),US
AIESEC EMORY (CLOSED),US
AIESEC TOLEDO (CLOSED),US
AIESEC BRIGHAM YOUNG (CLOSED),US
AIESEC TEXAS A&M,US
AIESEC WASHINGTON DC,US
AIESEC QUINNIPIAC (CLOSED),US
AIESEC OHIO STATE,US
AIESEC TEXAS A&M (CLOSED),US
AIESEC UNI OF SOUTHERN ALABAMA (CLOSED),US
AIESEC INDIANA,US
AIESEC BIRMINGHAM (US) (CLOSED),US
AIESEC ARLINGTON (CLOSED),US
AIESEC OKLAHOMA STATE (CLOSED),US
AIESEC SEATTLE,US
AIESEC PUGET SOUND (CLOSED),US
AIESEC AMHERST (CLOSED),US
AIESEC MILLS (CLOSED),US
AIESEC CHAPEL HILL,US
AIESEC DALLAS,US
AIESEC NOTRE DAME (CLOSED),US
AIESEC TUFTS (CLOSED),US
AIESEC MIT (CLOSED),US
AIESEC EAU CLAIRE,US
AIESEC NORTH CAROLINA (CLOSED),US
AIESEC TRINITY COLLEGE (CLOSED),US
AIESEC MARQUETTE (CLOSED),US
AIESEC COLUMBIA (CLOSED),US
AIESEC LOYOLA - CHICAGO (CLOSED),US
AIESEC NORTHERN ILLINOIS,US
AIESEC DAVIS,US
AIESEC UMSL (CLOSED),US
AIESEC YALE,US
AIESEC LEHIGH (CLOSED),US
AIESEC CINCINNATI (CLOSED),US
AIESEC HAWAII (CLOSED),US
AIESEC SAN FRAN (CLOSED),US
AIESEC HUNTINGDON (CLOSED),US
AIESEC CORNELL,US
AIESEC BOSTON (CLOSED),US
AIESEC PURDUE,US
AIESEC UNIVERSITY OF ARIZONA (CLOSED),US
AIESEC APPALACHIAN,US
AIESEC SAN JOSE,US
AIESEC WILLIAMS (CLOSED),US
AIESEC HARVARD (CLOSED),US
AIESEC MIAMI (CLOSED),US
AIESEC THUNDERBIRD (CLOSED),US
AIESEC WESLEYAN (CLOSED),US
AIESEC DUQUESNE (CLOSED),US
AIESEC SOUTHERN METHODIST UNIVERSITY (CLOSED),US
AIESEC UCLA (closed) (CLOSED),US
AIESEC PENNSYLVANIA (CLOSED),US
AIESEC DUKE (CLOSED),US
AIESEC FLORIDA (CLOSED),US
AIESEC HOUSTON,US
AIESEC VA. COMMONWEALTH (CLOSED),US
AIESEC HOLBY CROSS (CLOSED),US
AIESEC RICE (CLOSED),US
AIESEC ILLINOIS,US
AIESEC UPSALA (CLOSED),US
AIESEC WESTERN RESERVE (CLOSED),US
AIESEC ARIZONA STATE,US
AIESEC TENNESSEE (CLOSED),US
AIESEC CHICAGO (CLOSED),US
AIESEC BRADLEY (CLOSED),US
AIESEC SAN DIEGO (CLOSED),US
AIESEC GEORGIA TECH.,US
AIESEC PRINCETON (CLOSED),US
AIESEC WICHITA STATE (CLOSED),US
AIESEC UNI OF SOUTH FLORIDA (CLOSED),US
AIESEC BAYLOR (CLOSED),US
AIESEC LONG BEACH (CLOSED),US
AIESEC SVSU (CLOSED),US
AIESEC NORTH CENTRAL (CLOSED),US
AIESEC PORTLAND (CLOSED),US
AIESEC AMERICAN UNIVERSITY (CLOSED),US
AIESEC SAN LUIS OBISPO,US
AIESEC MICHIGAN,US
AIESEC METROPOLITAN STATE (CLOSED),US
AIESEC HUNTER COLLEGE (CLOSED),US
AIESEC COLORADO STATE (CLOSED),US
AIESEC NABRASKA (CLOSED),US
AIESEC ALABAMA (CLOSED),US
AIESEC NORTH TEXAS STATE (CLOSED),US
AIESEC GEORGETOWN (CLOSED),US
AIESEC SMITH (CLOSED),US
AIESEC ROCHESTER (CLOSED),US
AIESEC MANKATO (CLOSED),US
AIESEC RHODE ISLAND (CLOSED),US
AIESEC QATAR (CLOSED),US
AIESEC BERKELEY (CLOSED),US
AIESEC NEW ORLEANS (CLOSED),US
AIESEC COLORADO,US
AIESEC LONG ISLAND (CLOSED),US
AIESEC MISSOURI,US
AIESEC MICHIGAN STATE (CLOSED),US
AIESEC IOWA (CLOSED),US
AIESEC LOUISIANA STATE (CLOSED),US
AIESEC KENT STATE (CLOSED),US
AIESEC LAKE ERIE COLLEGE (CLOSED),US
AIESEC NYU (CLOSED),US
AIESEC DENVER,US
AIESEC HOWARD (CLOSED),US
AIESEC ST CLOUD (CLOSED),US
AIESEC MIAMI FLORIDA,US
AIESEC FULLERTON (CLOSED),US
AIESEC TULANE (CLOSED),US
AIESEC GEORGIA (UGA),US
AIESEC GREEN BAY (CLOSED),US
AIESEC BAY AREA (CLOSED),US
AIESEC WILLAMETTE (CLOSED),US
AIESEC GOUCHER (CLOSED),US
AIESEC SYRACUSE (CLOSED),US
AIESEC NEW YORK CITY,US
AIESEC WELLESLEY (CLOSED),US
AIESEC DOUGLAS (CLOSED),US
AIESEC SETHON HALL (CLOSED),US
AIESEC VASSAR (CLOSED),US
AIESEC St Louis (CLOSED),US
AIESEC COLBY (CLOSED),US
AIESEC BALL STATE (CLOSED),US
AIESEC OREGON (CLOSED),US
AIESEC MINNESOTA (CLOSED),US
AIESEC UTAH (CLOSED),US
AIESEC PITTSBURGH (CLOSED),US
AIESEC CARNEGIE MELLON (CLOSED),US
AIESEC DEPAUL (CLOSED),US
AIESEC NEW HAMPSHIRE (CLOSED),US
AIESEC RADCLIFFE (CLOSED),US
AIESEC UNI OF SOUTHERN CALIFORNIA (CLOSED),US
AIESEC BOWDOIN (CLOSED),US
AIESEC NORTHWESTERN,US
AIESEC OLD DOMINION (CLOSED),US
AIESEC REDLANDS (CLOSED),US
AIESEC BARNARD (CLOSED),US
AIESEC SANTA BARBARA (CLOSED),US
AIESEC GEORGIA STATE,US
AIESEC BUFFALO (CLOSED),US
AIESEC NEW YORK UNIVERSITY (CLOSED),US
AIESEC MINNEAPOLIS (CLOSED),US
AIESEC PACIFIC (CLOSED),US
AIESEC RUTGERS (CLOSED),US
AIESEC BENTLEY (CLOSED),US
AIESEC MADISON,US
AIESEC MEMPHIS (CLOSED),US
AIESEC MILWAUKEE (CLOSED),US
AIESEC PEMBROKE (CLOSED),US
AIESEC AUSTIN,US
AIESEC LOYOLA - NEW ORLEANS (CLOSED),US
AIESEC BAHRAIN (CLOSED),US
AIESEC NEW MEXICO (CLOSED),US
AIESEC VIRGINIA (CLOSED),US
AIESEC LEMOYNE - OWEN (CLOSED),US
AIESEC HOFSTRA (CLOSED),US
AIESEC PACE (CLOSED),US
AIESEC CHICAGO CIRCLE (CLOSED),US
AIESEC JOHNS HOPKINS (CLOSED),US
AIESEC BENEDICTINE (CLOSED),US
AIESEC MARYLAND (CLOSED),US
AIESEC DELAWARE (CLOSED),US
AIESEC AT NORTH CAROLINA (CLOSED),US
AIESEC HAVERFORD (CLOSED),US
AIESEC TRUMAN (CLOSED),US
AIESEC KANSAS (CLOSED),US
AIESEC GEORGE WASHINGTON UNIVERSITY (CLOSED),US
AIESEC WHITWORTH (CLOSED),US
AIESEC FLORIDA STATE (CLOSED),US
AIESEC TACOMA (CLOSED),US
AIESEC MVD,UY
AIESEC MONTEVIDEO,UY
AIESEC UCUDAL (CLOSED),UY
AIESEC TASHKENT,UZ
AIESEC UCV,VE
AIESEC UCAB,VE
AIESEC LUZ (CLOSED),VE
AIESEC UNITEC,VE
AIESEC BARQUISIMETO,VE
AIESEC GUAYANA,VE
AIESEC MARACAIBO,VE
AIESEC UC,VE
AIESEC UNIMET,VE
AIESEC MERIDA,VE
AIESEC USB,VE
AIESEC HANOI,VM
AIESEC DANANG,VM
AIESEC FTU HCM,VM
AIESEC HO CHI MINH CITY,VM
AIESEC FTU HN,VM
AIESEC RMIT,VM
AIESEC AFRICA UNIVERSITY,ZI
AIESEC GWERU TECHNICAL COLLEGE (CLOSED),ZI
AIESEC MUTARE TECHNICAL COLLEGE (CLOSED),ZI
AIESEC BULAWAYO POLYTECHNICAL COLLEGE (CLOSED),ZI
